employee_id,name,department,position,age,salary,years_experience,performance_score,bonus,hire_date
1,Employee_1,HR,VP,26,55673.75,14,2.45,3518.85,2015-01-01
2,Employee_2,Finance,Director,62,78002.72,11,1.39,7056.15,2015-01-02
3,Employee_3,Marketing,Manager,47,40902.43,39,1.47,5215.51,2015-01-03
4,Employee_4,Finance,Junior,49,29460.18,19,2.02,1246.47,2015-01-04
5,Employee_5,Finance,Manager,23,,29,2.18,9614.15,2015-01-05
6,Employee_6,Sales,Manager,27,97011.95,37,3.12,6359.11,2015-01-06
7,Employee_7,Marketing,VP,30,80058.74,2,3.71,7658.68,2015-01-07
8,Employee_8,Marketing,Director,54,73731.08,27,3.37,792.13,2015-01-08
9,Employee_9,Marketing,Senior,62,71249.32,25,1.59,470.58,2015-01-09
10,Employee_10,Finance,Director,46,56148.69,29,1.69,194.48,2015-01-10
11,Employee_11,HR,Director,34,70562.78,12,4.52,1887.94,2015-01-11
12,Employee_12,Marketing,Manager,30,83433.69,12,3.23,4144.08,2015-01-12
13,Employee_13,Operations,Director,34,66295.56,1,4.48,9358.26,2015-01-13
14,Employee_14,Finance,Junior,52,90011.74,36,2.49,4570.6,2015-01-14
15,Employee_15,Sales,Manager,62,78919.5,37,3.46,2902.55,2015-01-15
16,Employee_16,HR,Junior,32,81339.59,1,3.09,5619.35,2015-01-16
17,Employee_17,Operations,Senior,25,92773.26,35,2.28,1119.35,2015-01-17
18,Employee_18,Operations,Manager,55,64464.89,25,2.88,6095.06,2015-01-18
19,Employee_19,Sales,Senior,59,88187.61,10,3.01,5684.32,2015-01-19
20,Employee_20,HR,Manager,25,67270.47,7,1.8,7919.93,2015-01-20
21,Employee_21,Finance,VP,59,81790.29,39,2.26,9866.88,2015-01-21
22,Employee_22,Engineering,Director,40,62084.57,21,4.17,2508.73,2015-01-22
23,Employee_23,HR,VP,27,56785.92,19,4.66,5096.56,2015-01-23
24,Employee_24,Sales,Senior,55,76837.29,7,2.44,9088.65,2015-01-24
25,Employee_25,Operations,Director,39,37296.0,28,2.23,7851.9,2015-01-25
26,Employee_26,Finance,Manager,34,69074.65,39,1.78,4874.06,2015-01-26
27,Employee_27,HR,Director,62,42872.46,25,3.71,9453.72,2015-01-27
28,Employee_28,Engineering,Junior,44,90584.68,29,2.29,572.37,2015-01-28
29,Employee_29,Engineering,Director,40,96002.21,16,4.95,9309.99,2015-01-29
30,Employee_30,Marketing,Junior,32,57720.98,19,2.3,505.07,2015-01-30
31,Employee_31,Marketing,Director,22,83566.26,15,2.58,5473.05,2015-01-31
32,Employee_32,Sales,Junior,45,92982.71,6,3.41,8904.41,2015-02-01
33,Employee_33,HR,Senior,28,93049.38,15,4.21,2627.21,2015-02-02
34,Employee_34,HR,VP,46,79289.02,26,,4722.48,2015-02-03
35,Employee_35,Operations,Manager,42,89686.09,22,2.69,3243.29,2015-02-04
36,Employee_36,Operations,Director,36,62013.37,23,4.98,9521.44,2015-02-05
37,Employee_37,Operations,VP,22,76662.45,8,1.04,8236.46,2015-02-06
38,Employee_38,Marketing,Manager,33,65657.93,34,4.58,7090.02,2015-02-07
39,Employee_39,HR,Manager,28,60324.24,19,1.6,5876.27,2015-02-08
40,Employee_40,HR,Junior,36,75721.27,36,,8205.92,2015-02-09
41,Employee_41,Engineering,Senior,42,81950.61,16,3.47,3922.67,2015-02-10
42,Employee_42,Marketing,Senior,40,98270.18,30,2.37,4475.52,2015-02-11
43,Employee_43,Finance,VP,50,80303.11,7,4.5,7300.02,2015-02-12
44,Employee_44,Marketing,Senior,46,87838.61,14,1.05,3577.55,2015-02-13
45,Employee_45,Finance,Director,54,88065.66,30,1.91,639.01,2015-02-14
46,Employee_46,Engineering,Senior,53,128750.69,29,3.27,743.35,2015-02-15
47,Employee_47,Sales,VP,56,38799.35,19,2.41,1153.63,2015-02-16
48,Employee_48,HR,Senior,59,61241.32,38,3.44,8696.81,2015-02-17
49,Employee_49,Engineering,Director,47,104481.12,11,1.1,4722.26,2015-02-18
50,Employee_50,HR,Junior,32,67959.74,16,1.47,7128.82,2015-02-19
51,Employee_51,Operations,VP,56,92716.06,29,1.51,3929.09,2015-02-20
52,Employee_52,Sales,Junior,29,79600.19,28,1.76,2587.11,2015-02-21
53,Employee_53,Sales,Junior,35,117104.05,18,2.84,3471.92,2015-02-22
54,Employee_54,Engineering,Junior,31,52738.91,10,4.01,7941.82,2015-02-23
55,Employee_55,Sales,Manager,23,,33,4.62,6252.16,2015-02-24
56,Employee_56,Finance,Manager,30,109991.63,6,4.34,9376.4,2015-02-25
57,Employee_57,Sales,Junior,24,54711.62,33,1.79,6797.05,2015-02-26
58,Employee_58,HR,VP,42,90657.4,19,2.76,5701.82,2015-02-27
59,Employee_59,HR,Director,47,55690.04,37,1.8,6101.96,2015-02-28
60,Employee_60,HR,Director,29,75603.23,23,2.06,9423.71,2015-03-01
61,Employee_61,HR,Senior,23,69868.24,9,3.01,7882.01,2015-03-02
62,Employee_62,Finance,VP,27,26944.92,31,1.27,240.41,2015-03-03
63,Employee_63,Marketing,Manager,49,83484.69,14,1.87,5341.4,2015-03-04
64,Employee_64,Operations,Junior,50,77866.78,36,4.74,6883.38,2015-03-05
65,Employee_65,Engineering,Senior,47,104581.58,19,2.86,7486.98,2015-03-06
66,Employee_66,HR,Director,46,87222.87,2,,2131.42,2015-03-07
67,Employee_67,Sales,Manager,33,120817.68,36,1.06,8671.77,2015-03-08
68,Employee_68,HR,Manager,26,77140.85,39,1.99,9558.43,2015-03-09
69,Employee_69,Sales,Junior,55,72889.4,7,4.47,2367.15,2015-03-10
70,Employee_70,Operations,Director,58,71312.87,39,1.66,8826.15,2015-03-11
71,Employee_71,Operations,VP,36,66208.23,22,2.66,969.79,2015-03-12
72,Employee_72,Operations,Manager,57,30844.98,39,1.06,557.07,2015-03-13
73,Employee_73,Sales,Junior,36,70596.11,10,2.91,1292.24,2015-03-14
74,Employee_74,HR,VP,64,33642.91,7,1.08,577.41,2015-03-15
75,Employee_75,Operations,Director,44,84040.67,28,,8450.12,2015-03-16
76,Employee_76,Finance,Manager,27,50198.79,29,4.3,590.5,2015-03-17
77,Employee_77,Sales,VP,64,57113.35,9,4.15,2716.64,2015-03-18
78,Employee_78,Sales,VP,42,61611.8,38,2.13,1037.56,2015-03-19
79,Employee_79,HR,VP,44,70901.3,27,4.35,2954.22,2015-03-20
80,Employee_80,Sales,Manager,64,75137.37,35,3.17,905.59,2015-03-21
81,Employee_81,Sales,Manager,37,96689.59,12,2.5,6680.03,2015-03-22
82,Employee_82,Operations,Senior,36,63449.4,31,3.5,1333.27,2015-03-23
83,Employee_83,HR,Director,46,84602.92,35,1.05,8518.46,2015-03-24
84,Employee_84,Operations,Junior,57,129617.34,36,1.57,8171.91,2015-03-25
85,Employee_85,Operations,VP,32,82547.01,25,3.97,136.62,2015-03-26
86,Employee_86,HR,Senior,36,71390.2,21,1.98,8957.26,2015-03-27
87,Employee_87,Engineering,Junior,25,59416.97,3,3.39,289.44,2015-03-28
88,Employee_88,Operations,Senior,42,71113.37,30,2.54,2396.46,2015-03-29
89,Employee_89,Finance,Manager,34,57275.59,17,4.42,323.89,2015-03-30
90,Employee_90,Finance,VP,43,80373.23,37,4.81,3358.43,2015-03-31
91,Employee_91,Sales,Junior,40,77070.88,23,4.53,5138.67,2015-04-01
92,Employee_92,Finance,Junior,55,31755.62,22,2.08,7966.45,2015-04-02
93,Employee_93,Sales,Junior,35,74628.84,21,1.78,3379.82,2015-04-03
94,Employee_94,Engineering,Junior,25,96522.93,1,2.9,7054.9,2015-04-04
95,Employee_95,HR,Junior,48,67017.76,30,1.03,1875.04,2015-04-05
96,Employee_96,HR,Senior,50,61942.06,10,1.1,7505.98,2015-04-06
97,Employee_97,HR,VP,49,,27,3.21,2359.97,2015-04-07
98,Employee_98,Finance,Manager,56,37840.16,31,,1435.45,2015-04-08
99,Employee_99,Engineering,Manager,29,91626.99,4,4.98,1854.09,2015-04-09
100,Employee_100,Finance,Manager,37,71370.43,37,1.81,1820.63,2015-04-10
101,Employee_101,Finance,Manager,63,90440.43,9,2.03,5128.63,2015-04-11
102,Employee_102,Engineering,Senior,57,105626.47,39,1.45,8447.98,2015-04-12
103,Employee_103,Engineering,Director,51,93424.95,23,4.67,796.05,2015-04-13
104,Employee_104,Engineering,VP,39,64152.55,34,4.11,7069.56,2015-04-14
105,Employee_105,Engineering,Junior,23,77897.35,22,4.29,6543.46,2015-04-15
106,Employee_106,HR,Director,34,62704.54,16,4.61,8725.2,2015-04-16
107,Employee_107,Marketing,Manager,25,60834.23,0,3.1,2441.48,2015-04-17
108,Employee_108,Marketing,Director,47,81856.3,30,2.8,4501.1,2015-04-18
109,Employee_109,Engineering,VP,46,58354.12,30,2.32,9258.27,2015-04-19
110,Employee_110,Marketing,Junior,51,30816.97,33,3.36,6599.93,2015-04-20
111,Employee_111,Marketing,Junior,32,57237.04,8,2.82,3887.68,2015-04-21
112,Employee_112,Engineering,VP,28,68862.38,21,2.81,1314.12,2015-04-22
113,Employee_113,Marketing,VP,52,105427.97,12,4.75,2624.85,2015-04-23
114,Employee_114,Finance,Manager,31,65181.25,24,4.94,5812.15,2015-04-24
115,Employee_115,Sales,Junior,60,85238.48,17,4.19,7181.68,2015-04-25
116,Employee_116,Sales,Director,34,71633.84,11,4.03,1244.22,2015-04-26
117,Employee_117,Engineering,Senior,52,99528.1,39,3.72,5995.97,2015-04-27
118,Employee_118,HR,Senior,28,98141.93,16,1.66,5503.51,2015-04-28
119,Employee_119,Engineering,VP,63,98523.5,14,1.24,5139.55,2015-04-29
120,Employee_120,HR,Manager,63,,14,3.76,6901.23,2015-04-30
121,Employee_121,Sales,Senior,57,79134.48,14,3.92,8374.5,2015-05-01
122,Employee_122,Engineering,Junior,41,90178.77,38,1.19,3229.9,2015-05-02
123,Employee_123,Operations,VP,25,82630.77,12,4.71,8890.12,2015-05-03
124,Employee_124,Finance,Director,28,87731.93,16,1.36,1606.34,2015-05-04
125,Employee_125,Marketing,VP,22,76167.02,31,2.14,1730.24,2015-05-05
126,Employee_126,HR,Director,63,60104.32,8,3.69,2667.72,2015-05-06
127,Employee_127,Operations,VP,34,41058.05,39,1.68,1195.31,2015-05-07
128,Employee_128,Marketing,VP,43,62088.61,19,1.22,2303.19,2015-05-08
129,Employee_129,Marketing,VP,42,128562.2,25,2.32,1064.12,2015-05-09
130,Employee_130,Engineering,Director,43,65286.98,26,4.06,8217.52,2015-05-10
131,Employee_131,Marketing,Director,49,35812.2,20,2.65,1389.69,2015-05-11
132,Employee_132,Finance,VP,30,89652.99,17,3.61,7472.98,2015-05-12
133,Employee_133,Operations,Senior,47,92109.2,12,3.32,479.14,2015-05-13
134,Employee_134,Marketing,Manager,30,100746.49,15,1.09,9485.2,2015-05-14
135,Employee_135,Engineering,Manager,36,,8,4.95,7111.6,2015-05-15
136,Employee_136,Finance,Manager,31,91912.03,11,1.17,67.97,2015-05-16
137,Employee_137,Sales,Director,45,111804.34,37,4.87,7638.57,2015-05-17
138,Employee_138,Operations,Director,63,60090.53,18,3.2,5140.82,2015-05-18
139,Employee_139,Marketing,Senior,29,56122.99,6,4.85,7793.65,2015-05-19
140,Employee_140,Engineering,Manager,45,53108.27,34,1.46,5224.97,2015-05-20
141,Employee_141,Sales,Manager,37,69684.61,17,2.96,6410.25,2015-05-21
142,Employee_142,Sales,VP,47,,15,1.68,7863.32,2015-05-22
143,Employee_143,HR,Director,48,,38,1.2,4051.08,2015-05-23
144,Employee_144,Finance,Manager,58,84773.84,3,3.47,27.08,2015-05-24
145,Employee_145,Marketing,Senior,25,38613.84,24,1.83,8499.46,2015-05-25
146,Employee_146,Engineering,Senior,45,61136.26,31,3.35,3808.9,2015-05-26
147,Employee_147,HR,Manager,40,38286.85,39,1.45,4960.43,2015-05-27
148,Employee_148,Finance,Director,57,98424.92,12,2.33,77.67,2015-05-28
149,Employee_149,HR,Senior,60,106712.93,16,4.13,4920.92,2015-05-29
150,Employee_150,Operations,VP,31,90591.33,36,2.75,9864.87,2015-05-30
151,Employee_151,Finance,Senior,46,55264.28,5,3.51,2782.68,2015-05-31
152,Employee_152,Finance,Junior,39,104640.45,18,3.59,3954.18,2015-06-01
153,Employee_153,Marketing,Junior,40,69934.9,12,4.38,6871.9,2015-06-02
154,Employee_154,Finance,Director,57,50710.81,25,2.3,8147.94,2015-06-03
155,Employee_155,HR,Manager,31,55711.91,13,3.75,4173.92,2015-06-04
156,Employee_156,Finance,Director,54,66396.87,30,4.85,3096.69,2015-06-05
157,Employee_157,Marketing,Director,26,75991.57,3,3.92,9378.26,2015-06-06
158,Employee_158,Marketing,Director,56,71773.12,38,2.96,6771.45,2015-06-07
159,Employee_159,Operations,Director,55,46746.63,7,3.52,1190.21,2015-06-08
160,Employee_160,HR,VP,54,99266.33,24,3.96,689.28,2015-06-09
161,Employee_161,Sales,VP,42,71987.88,12,3.45,4835.5,2015-06-10
162,Employee_162,Sales,Senior,38,60724.92,31,1.07,2200.9,2015-06-11
163,Employee_163,Finance,Junior,43,97206.05,37,1.78,2539.85,2015-06-12
164,Employee_164,Operations,Director,58,51331.88,37,4.24,8776.92,2015-06-13
165,Employee_165,Engineering,Senior,36,42422.2,27,2.09,895.66,2015-06-14
166,Employee_166,Finance,Junior,56,100449.75,29,3.93,7153.64,2015-06-15
167,Employee_167,Operations,Manager,49,112827.76,2,2.49,2711.42,2015-06-16
168,Employee_168,HR,VP,28,65758.08,27,3.09,7603.28,2015-06-17
169,Employee_169,HR,Junior,53,74080.6,2,1.27,7224.11,2015-06-18
170,Employee_170,HR,Manager,32,52066.71,33,1.72,73.92,2015-06-19
171,Employee_171,HR,Junior,31,75109.85,15,4.83,5091.35,2015-06-20
172,Employee_172,HR,VP,30,65485.89,21,4.56,1393.19,2015-06-21
173,Employee_173,Operations,VP,35,,31,3.61,8662.27,2015-06-22
174,Employee_174,Operations,Senior,34,83185.17,37,2.84,8715.86,2015-06-23
175,Employee_175,Marketing,Director,46,53037.09,7,3.7,4183.46,2015-06-24
176,Employee_176,Sales,Junior,23,67763.77,7,3.47,4443.96,2015-06-25
177,Employee_177,HR,Junior,56,38924.37,5,3.27,3032.83,2015-06-26
178,Employee_178,Engineering,Manager,28,67900.25,13,1.24,7166.06,2015-06-27
