employee_id,name,department,position,age,salary,years_experience,performance_score,bonus,hire_date,sale_id,product,region,quantity,unit_price,total_amount,sale_date,customer_rating,discount_percent
1,Employee_1,HR,VP,26,55673.75,14,2.45,3518.85,2015-01-01,271,Headphones,North,2,1138.64,1805.43,2023-01-12 06:00:00,2,20.72
1,Employee_1,HR,VP,26,55673.75,14,2.45,3518.85,2015-01-01,426,Phone,West,6,664.72,3092.14,2023-01-18 17:00:00,3,22.47
1,Employee_1,HR,VP,26,55673.75,14,2.45,3518.85,2015-01-01,702,Monitor,Central,5,1429.18,6219.08,2023-01-30 05:00:00,2,12.97
1,Employee_1,HR,VP,26,55673.75,14,2.45,3518.85,2015-01-01,1860,Laptop,East,2,66.55,124.48,2023-03-19 11:00:00,4,6.48
3,Employee_3,Marketing,Manager,47,40902.43,39,1.47,5215.51,2015-01-03,347,Laptop,Central,5,414.06,1960.16,2023-01-15 10:00:00,5,5.32
4,Employee_4,Finance,Junior,49,29460.18,19,2.02,1246.47,2015-01-04,357,Monitor,North,8,1136.82,8174.19,2023-01-15 20:00:00,1,10.12
5,Employee_5,Finance,Manager,23,,29,2.18,9614.15,2015-01-05,1190,Mouse,West,8,1670.72,10548.26,2023-02-19 13:00:00,5,21.08
5,Employee_5,Finance,Manager,23,,29,2.18,9614.15,2015-01-05,1434,Headphones,South,5,1534.48,6465.53,2023-03-01 17:00:00,3,15.73
7,Employee_7,Marketing,VP,30,80058.74,2,3.71,7658.68,2015-01-07,1660,Tablet,East,5,1229.76,5948.96,2023-03-11 03:00:00,3,3.25
8,Employee_8,Marketing,Director,54,73731.08,27,3.37,792.13,2015-01-08,562,Mouse,South,2,545.79,899.46,2023-01-24 09:00:00,5,17.6
8,Employee_8,Marketing,Director,54,73731.08,27,3.37,792.13,2015-01-08,938,Keyboard,North,6,169.24,803.72,2023-02-09 01:00:00,3,20.85
8,Employee_8,Marketing,Director,54,73731.08,27,3.37,792.13,2015-01-08,1413,Mouse,North,5,334.48,1644.3,2023-02-28 20:00:00,5,1.68
8,Employee_8,Marketing,Director,54,73731.08,27,3.37,792.13,2015-01-08,1444,Phone,North,3,796.79,2338.02,2023-03-02 03:00:00,4,2.19
8,Employee_8,Marketing,Director,54,73731.08,27,3.37,792.13,2015-01-08,1496,Headphones,East,3,1983.23,5371.98,2023-03-04 07:00:00,4,9.71
8,Employee_8,Marketing,Director,54,73731.08,27,3.37,792.13,2015-01-08,1623,Laptop,Central,3,94.24,225.78,2023-03-09 14:00:00,4,20.14
9,Employee_9,Marketing,Senior,62,71249.32,25,1.59,470.58,2015-01-09,25,Tablet,Central,6,871.61,4665.38,2023-01-02 00:00:00,3,10.79
10,Employee_10,Finance,Director,46,56148.69,29,1.69,194.48,2015-01-10,964,Laptop,East,7,355.19,2320.99,2023-02-10 03:00:00,1,6.65
11,Employee_11,HR,Director,34,70562.78,12,4.52,1887.94,2015-01-11,1442,Headphones,Central,1,639.88,487.52,2023-03-02 01:00:00,5,23.81
12,Employee_12,Marketing,Manager,30,83433.69,12,3.23,4144.08,2015-01-12,670,Headphones,South,8,329.24,2520.13,2023-01-28 21:00:00,5,4.32
12,Employee_12,Marketing,Manager,30,83433.69,12,3.23,4144.08,2015-01-12,698,Phone,North,3,1519.11,4399.65,2023-01-30 01:00:00,3,3.46
12,Employee_12,Marketing,Manager,30,83433.69,12,3.23,4144.08,2015-01-12,1013,Laptop,South,9,1900.32,12861.37,2023-02-12 04:00:00,2,24.8
12,Employee_12,Marketing,Manager,30,83433.69,12,3.23,4144.08,2015-01-12,1522,Laptop,Central,6,1490.19,8914.32,2023-03-05 09:00:00,2,0.3
13,Employee_13,Operations,Director,34,66295.56,1,4.48,9358.26,2015-01-13,1852,Headphones,South,2,1771.47,3055.43,2023-03-19 03:00:00,1,13.76
14,Employee_14,Finance,Junior,52,90011.74,36,2.49,4570.6,2015-01-14,1388,Phone,South,1,1548.4,1264.27,2023-02-27 19:00:00,4,18.35
14,Employee_14,Finance,Junior,52,90011.74,36,2.49,4570.6,2015-01-14,1679,Mouse,Central,1,1144.49,1031.41,2023-03-11 22:00:00,4,9.88
15,Employee_15,Sales,Manager,62,78919.5,37,3.46,2902.55,2015-01-15,1541,Laptop,North,1,460.84,386.09,2023-03-06 04:00:00,3,16.22
15,Employee_15,Sales,Manager,62,78919.5,37,3.46,2902.55,2015-01-15,1745,Monitor,East,2,1381.78,2190.67,2023-03-14 16:00:00,1,20.73
17,Employee_17,Operations,Senior,25,92773.26,35,2.28,1119.35,2015-01-17,364,Tablet,Central,2,878.13,1572.56,2023-01-16 03:00:00,1,10.46
18,Employee_18,Operations,Manager,55,64464.89,25,2.88,6095.06,2015-01-18,121,Headphones,Central,6,942.92,4368.17,2023-01-06 00:00:00,5,22.79
18,Employee_18,Operations,Manager,55,64464.89,25,2.88,6095.06,2015-01-18,218,Laptop,East,2,1212.09,2139.82,2023-01-10 01:00:00,4,11.73
18,Employee_18,Operations,Manager,55,64464.89,25,2.88,6095.06,2015-01-18,990,Keyboard,North,4,895.07,3259.49,2023-02-11 05:00:00,3,8.96
18,Employee_18,Operations,Manager,55,64464.89,25,2.88,6095.06,2015-01-18,1520,Phone,North,4,1052.7,4047.0,2023-03-05 07:00:00,2,3.89
19,Employee_19,Sales,Senior,59,88187.61,10,3.01,5684.32,2015-01-19,48,Keyboard,South,1,466.22,352.84,2023-01-02 23:00:00,1,24.32
19,Employee_19,Sales,Senior,59,88187.61,10,3.01,5684.32,2015-01-19,820,Tablet,West,2,1866.15,3656.53,2023-02-04 03:00:00,2,2.03
19,Employee_19,Sales,Senior,59,88187.61,10,3.01,5684.32,2015-01-19,907,Headphones,South,3,259.11,768.39,2023-02-07 18:00:00,2,1.15
19,Employee_19,Sales,Senior,59,88187.61,10,3.01,5684.32,2015-01-19,1149,Phone,West,2,173.0,272.34,2023-02-17 20:00:00,3,21.29
19,Employee_19,Sales,Senior,59,88187.61,10,3.01,5684.32,2015-01-19,1366,Tablet,Central,9,1010.86,8996.76,2023-02-26 21:00:00,4,1.11
20,Employee_20,HR,Manager,25,67270.47,7,1.8,7919.93,2015-01-20,1924,Headphones,Central,6,614.61,3290.5,2023-03-22 03:00:00,4,10.77
21,Employee_21,Finance,VP,59,81790.29,39,2.26,9866.88,2015-01-21,631,Headphones,North,7,544.34,3460.59,2023-01-27 06:00:00,4,9.18
21,Employee_21,Finance,VP,59,81790.29,39,2.26,9866.88,2015-01-21,719,Monitor,East,5,1542.44,7415.28,2023-01-30 22:00:00,3,3.85
22,Employee_22,Engineering,Director,40,62084.57,21,4.17,2508.73,2015-01-22,52,Mouse,North,7,1285.89,7625.84,2023-01-03 03:00:00,3,15.28
22,Employee_22,Engineering,Director,40,62084.57,21,4.17,2508.73,2015-01-22,148,Tablet,South,6,1334.73,7414.16,2023-01-07 03:00:00,5,7.42
22,Employee_22,Engineering,Director,40,62084.57,21,4.17,2508.73,2015-01-22,1353,Headphones,South,8,1568.84,10445.96,2023-02-26 08:00:00,3,16.77
24,Employee_24,Sales,Senior,55,76837.29,7,2.44,9088.65,2015-01-24,85,Tablet,South,7,815.86,4672.76,2023-01-04 12:00:00,3,18.18
24,Employee_24,Sales,Senior,55,76837.29,7,2.44,9088.65,2015-01-24,205,Laptop,West,7,1981.6,11378.55,2023-01-09 12:00:00,2,17.97
24,Employee_24,Sales,Senior,55,76837.29,7,2.44,9088.65,2015-01-24,1303,Headphones,East,4,1022.21,3772.77,2023-02-24 06:00:00,3,7.73
24,Employee_24,Sales,Senior,55,76837.29,7,2.44,9088.65,2015-01-24,1540,Mouse,South,3,1363.98,3414.31,2023-03-06 03:00:00,4,16.56
25,Employee_25,Operations,Director,39,37296.0,28,2.23,7851.9,2015-01-25,260,Phone,North,3,1474.56,4054.3,2023-01-11 19:00:00,5,8.35
25,Employee_25,Operations,Director,39,37296.0,28,2.23,7851.9,2015-01-25,694,Keyboard,South,3,883.46,2340.29,2023-01-29 21:00:00,1,11.7
25,Employee_25,Operations,Director,39,37296.0,28,2.23,7851.9,2015-01-25,1631,Laptop,Central,7,868.69,5711.72,2023-03-09 22:00:00,1,6.07
26,Employee_26,Finance,Manager,34,69074.65,39,1.78,4874.06,2015-01-26,361,Mouse,West,7,1004.08,5639.72,2023-01-16 00:00:00,2,19.76
26,Employee_26,Finance,Manager,34,69074.65,39,1.78,4874.06,2015-01-26,677,Tablet,North,5,748.27,2861.01,2023-01-29 04:00:00,4,23.53
26,Employee_26,Finance,Manager,34,69074.65,39,1.78,4874.06,2015-01-26,1425,Laptop,West,6,840.0,3856.1,2023-03-01 08:00:00,5,23.49
26,Employee_26,Finance,Manager,34,69074.65,39,1.78,4874.06,2015-01-26,1621,Keyboard,East,9,1559.72,12285.6,2023-03-09 12:00:00,2,12.48
26,Employee_26,Finance,Manager,34,69074.65,39,1.78,4874.06,2015-01-26,1905,Tablet,North,8,552.28,3318.98,2023-03-21 08:00:00,2,24.88
27,Employee_27,HR,Director,62,42872.46,25,3.71,9453.72,2015-01-27,38,Phone,West,4,272.78,1066.24,2023-01-02 13:00:00,3,2.28
27,Employee_27,HR,Director,62,42872.46,25,3.71,9453.72,2015-01-27,1686,Monitor,North,1,1533.62,1413.38,2023-03-12 05:00:00,3,7.84
27,Employee_27,HR,Director,62,42872.46,25,3.71,9453.72,2015-01-27,1801,Laptop,West,2,969.95,1536.01,2023-03-17 00:00:00,5,20.82
28,Employee_28,Engineering,Junior,44,90584.68,29,2.29,572.37,2015-01-28,1934,Mouse,West,1,1046.16,850.21,2023-03-22 13:00:00,1,18.73
29,Employee_29,Engineering,Director,40,96002.21,16,4.95,9309.99,2015-01-29,471,Headphones,East,8,1897.09,14105.24,2023-01-20 14:00:00,3,7.06
29,Employee_29,Engineering,Director,40,96002.21,16,4.95,9309.99,2015-01-29,639,Mouse,South,1,619.74,481.91,2023-01-27 14:00:00,3,22.24
29,Employee_29,Engineering,Director,40,96002.21,16,4.95,9309.99,2015-01-29,1129,Laptop,East,2,631.38,1136.11,2023-02-17 00:00:00,2,10.03
29,Employee_29,Engineering,Director,40,96002.21,16,4.95,9309.99,2015-01-29,1802,Phone,East,3,1500.53,3544.1,2023-03-17 01:00:00,5,21.27
30,Employee_30,Marketing,Junior,32,57720.98,19,2.3,505.07,2015-01-30,1773,Laptop,South,6,643.2,3658.91,2023-03-15 20:00:00,3,5.19
31,Employee_31,Marketing,Director,22,83566.26,15,2.58,5473.05,2015-01-31,231,Monitor,West,7,1572.82,8670.17,2023-01-10 14:00:00,1,21.25
31,Employee_31,Marketing,Director,22,83566.26,15,2.58,5473.05,2015-01-31,1272,Laptop,South,3,728.09,1907.96,2023-02-22 23:00:00,3,12.65
32,Employee_32,Sales,Junior,45,92982.71,6,3.41,8904.41,2015-02-01,696,Keyboard,East,8,1802.45,11064.16,2023-01-29 23:00:00,2,23.27
32,Employee_32,Sales,Junior,45,92982.71,6,3.41,8904.41,2015-02-01,1447,Phone,South,5,1989.28,8573.8,2023-03-02 06:00:00,2,13.8
33,Employee_33,HR,Senior,28,93049.38,15,4.21,2627.21,2015-02-02,188,Mouse,East,9,1508.1,10676.44,2023-01-08 19:00:00,2,21.34
34,Employee_34,HR,VP,46,79289.02,26,,4722.48,2015-02-03,899,Monitor,North,7,848.52,5269.65,2023-02-07 10:00:00,4,11.28
34,Employee_34,HR,VP,46,79289.02,26,,4722.48,2015-02-03,1002,Mouse,North,5,1836.18,7205.17,2023-02-11 17:00:00,5,21.52
35,Employee_35,Operations,Manager,42,89686.09,22,2.69,3243.29,2015-02-04,686,Tablet,South,2,1730.18,3300.15,2023-01-29 13:00:00,1,4.63
35,Employee_35,Operations,Manager,42,89686.09,22,2.69,3243.29,2015-02-04,1885,Monitor,North,2,575.22,918.51,2023-03-20 12:00:00,3,20.16
36,Employee_36,Operations,Director,36,62013.37,23,4.98,9521.44,2015-02-05,448,Laptop,Central,5,1438.21,6069.25,2023-01-19 15:00:00,1,15.6
37,Employee_37,Operations,VP,22,76662.45,8,1.04,8236.46,2015-02-06,1171,Laptop,North,7,792.12,5296.99,2023-02-18 18:00:00,1,4.47
38,Employee_38,Marketing,Manager,33,65657.93,34,4.58,7090.02,2015-02-07,420,Headphones,West,7,608.77,3398.46,2023-01-18 11:00:00,3,20.25
39,Employee_39,HR,Manager,28,60324.24,19,1.6,5876.27,2015-02-08,834,Headphones,North,5,599.12,2462.08,2023-02-04 17:00:00,5,17.81
39,Employee_39,HR,Manager,28,60324.24,19,1.6,5876.27,2015-02-08,1600,Phone,North,6,432.47,2301.09,2023-03-08 15:00:00,4,11.32
40,Employee_40,HR,Junior,36,75721.27,36,,8205.92,2015-02-09,173,Phone,East,3,725.67,1743.35,2023-01-08 04:00:00,1,19.92
40,Employee_40,HR,Junior,36,75721.27,36,,8205.92,2015-02-09,1240,Laptop,North,3,190.2,562.55,2023-02-21 15:00:00,2,1.41
41,Employee_41,Engineering,Senior,42,81950.61,16,3.47,3922.67,2015-02-10,345,Tablet,North,8,151.76,1121.45,2023-01-15 08:00:00,1,7.63
42,Employee_42,Marketing,Senior,40,98270.18,30,2.37,4475.52,2015-02-11,749,Mouse,East,4,1321.35,4546.5,2023-02-01 04:00:00,5,13.98
42,Employee_42,Marketing,Senior,40,98270.18,30,2.37,4475.52,2015-02-11,815,Laptop,Central,1,1607.47,1271.83,2023-02-03 22:00:00,1,20.88
43,Employee_43,Finance,VP,50,80303.11,7,4.5,7300.02,2015-02-12,1699,Tablet,Central,6,1578.63,7353.89,2023-03-12 18:00:00,1,22.36
