employee_id,name,department,position,age,salary,years_experience,performance_score,bonus,hire_date
522,Employee_522,HR,Junior,48,69188.5,22,1.69,3994.32,2016-06-05
738,Employee_738,Sales,Director,45,54653.52,29,2.06,9630.94,2017-01-07
741,Employee_741,Sales,Director,43,85766.48,27,1.37,790.76,2017-01-10
661,Employee_661,HR,Director,58,58429.69,8,3.41,2994.58,2016-10-22
412,Employee_412,HR,Director,36,71407.52,21,1.49,9280.14,2016-02-16
679,Employee_679,Finance,Junior,40,88112.03,28,1.11,371.13,2016-11-09
627,Employee_627,Sales,Senior,35,54950.56,13,1.32,9335.8,2016-09-18
514,Employee_514,Marketing,VP,35,71211.73,38,3.87,617.62,2016-05-28
860,Employee_860,Engineering,Junior,64,101923.57,4,1.64,7565.39,2017-05-09
137,Employee_137,Sales,Director,45,111804.34,37,4.87,7638.57,2015-05-17
812,Employee_812,Engineering,Senior,22,96104.38,22,2.0,4626.1,2017-03-22
77,Employee_77,Sales,VP,64,57113.35,9,4.15,2716.64,2015-03-18
637,Employee_637,HR,VP,25,111266.88,20,3.33,3064.42,2016-09-28
974,Employee_974,HR,Director,60,77823.39,28,3.91,9907.49,2017-08-31
939,Employee_939,Operations,VP,45,88414.82,3,1.47,3792.83,2017-07-27
900,Employee_900,Marketing,Junior,51,54838.89,26,2.78,2410.64,2017-06-18
281,Employee_281,HR,Manager,22,71415.79,18,1.55,9982.0,2015-10-08
884,Employee_884,Marketing,Director,37,85576.63,5,2.37,6495.43,2017-06-02
762,Employee_762,Sales,Junior,25,52658.52,11,2.63,5813.21,2017-01-31
320,Employee_320,HR,Senior,35,56050.16,13,2.29,119.18,2015-11-16
550,Employee_550,Marketing,Senior,53,54536.09,21,2.61,3902.96,2016-07-03
175,Employee_175,Marketing,Director,46,53037.09,7,3.7,4183.46,2015-06-24
372,Employee_372,Finance,Manager,52,91201.25,20,3.71,7592.39,2016-01-07
528,Employee_528,HR,VP,37,48489.8,31,1.85,543.48,2016-06-11
211,Employee_211,Marketing,Manager,48,74397.11,12,1.52,5182.8,2015-07-30
236,Employee_236,Operations,Junior,52,68262.04,9,1.49,4995.48,2015-08-24
102,Employee_102,Engineering,Senior,57,105626.47,39,1.45,8447.98,2015-04-12
987,Employee_987,Engineering,Senior,56,97258.93,6,3.05,6644.24,2017-09-13
903,Employee_903,Sales,Manager,53,92012.95,21,1.4,898.22,2017-06-21
948,Employee_948,Marketing,Junior,49,81314.51,12,2.13,5011.63,2017-08-05
347,Employee_347,Marketing,Junior,33,79066.06,3,1.25,7274.52,2015-12-13
140,Employee_140,Engineering,Manager,45,53108.27,34,1.46,5224.97,2015-05-20
622,Employee_622,HR,VP,43,90441.9,11,3.33,1816.31,2016-09-13
500,Employee_500,HR,Senior,59,78008.11,8,2.45,5795.97,2016-05-14
371,Employee_371,Finance,Manager,32,100491.84,17,,3058.14,2016-01-06
199,Employee_199,Marketing,Junior,57,94228.43,32,1.9,9097.44,2015-07-18
688,Employee_688,Engineering,Junior,27,69883.18,30,3.14,9682.09,2016-11-18
585,Employee_585,HR,Senior,64,96749.28,6,3.21,1778.84,2016-08-07
902,Employee_902,Finance,Senior,40,61252.31,12,4.25,3601.0,2017-06-20
60,Employee_60,HR,Director,29,75603.23,23,2.06,9423.71,2015-03-01
329,Employee_329,Operations,Senior,52,89573.7,9,4.25,5727.61,2015-11-25
97,Employee_97,HR,VP,49,,27,3.21,2359.97,2015-04-07
313,Employee_313,Engineering,Junior,42,51887.49,37,2.59,7495.46,2015-11-09
975,Employee_975,Sales,Senior,27,97369.15,14,4.5,8828.23,2017-09-01
300,Employee_300,Marketing,VP,56,,18,1.61,8250.35,2015-10-27
278,Employee_278,Sales,VP,23,70611.12,20,3.55,7890.96,2015-10-05
925,Employee_925,Engineering,Director,55,95890.28,10,3.96,6817.85,2017-07-13
602,Employee_602,HR,VP,24,103888.41,25,1.8,2909.99,2016-08-24
440,Employee_440,Operations,VP,59,87398.53,30,1.42,4523.67,2016-03-15
838,Employee_838,Engineering,Manager,61,77640.42,13,1.45,3833.88,2017-04-17
