sale_id,employee_id,product,region,quantity,unit_price,total_amount,sale_date,customer_rating,discount_percent
1,90,Monitor,East,2,462.37,727.03,2023-01-01 00:00:00,5,21.38
2,720,Laptop,North,6,568.21,2636.72,2023-01-01 01:00:00,2,22.66
3,164,Headphones,South,7,234.92,1294.83,2023-01-01 02:00:00,2,21.26
4,481,Mouse,North,3,726.37,1729.78,2023-01-01 03:00:00,3,20.62
5,84,Phone,South,4,121.31,394.89,2023-01-01 04:00:00,3,18.62
6,77,Monitor,Central,3,413.51,1044.03,2023-01-01 05:00:00,2,15.84
7,673,Laptop,East,7,1506.2,8754.19,2023-01-01 06:00:00,1,16.97
8,517,Tablet,Central,7,684.66,3826.43,2023-01-01 07:00:00,2,20.16
9,485,Monitor,South,4,1353.06,4515.97,2023-01-01 08:00:00,3,16.56
10,590,Monitor,West,7,1447.92,9305.35,2023-01-01 09:00:00,4,8.19
11,603,Monitor,Central,5,1183.31,5360.39,2023-01-01 10:00:00,5,9.4
12,599,Keyboard,West,1,1919.46,1488.93,2023-01-01 11:00:00,4,22.43
13,782,Laptop,South,4,91.81,365.66,2023-01-01 12:00:00,4,0.43
14,104,Laptop,East,7,1490.37,8610.02,2023-01-01 13:00:00,5,17.47
15,452,Monitor,West,2,1919.63,2922.83,2023-01-01 14:00:00,2,23.87
16,487,Mouse,South,2,1731.43,2851.32,2023-01-01 15:00:00,1,17.66
17,339,Monitor,West,1,377.39,283.61,2023-01-01 16:00:00,4,24.85
18,687,Keyboard,Central,2,687.3,1138.31,2023-01-01 17:00:00,1,17.19
19,566,Headphones,South,8,386.28,3063.66,2023-01-01 18:00:00,3,0.86
20,900,Keyboard,Central,8,1222.55,7757.81,2023-01-01 19:00:00,4,20.68
21,478,Mouse,North,8,1438.77,10690.64,2023-01-01 20:00:00,3,7.12
22,723,Monitor,South,1,668.29,593.78,2023-01-01 21:00:00,2,11.15
23,607,Laptop,West,1,1102.04,1016.08,2023-01-01 22:00:00,4,7.8
24,223,Phone,North,4,1397.3,5214.16,2023-01-01 23:00:00,3,6.71
25,9,Tablet,Central,6,871.61,4665.38,2023-01-02 00:00:00,3,10.79
26,53,Monitor,Central,8,1715.33,12423.11,2023-01-02 01:00:00,2,9.47
27,77,Mouse,West,2,1554.52,2616.88,2023-01-02 02:00:00,1,15.83
28,718,Laptop,North,3,176.1,420.9,2023-01-02 03:00:00,1,20.33
29,503,Keyboard,East,6,1261.19,7004.9,2023-01-02 04:00:00,4,7.43
30,316,Headphones,West,4,508.88,1926.82,2023-01-02 05:00:00,2,5.34
31,814,Headphones,Central,2,1137.16,1895.19,2023-01-02 06:00:00,4,16.67
32,822,Phone,South,7,1915.93,11163.74,2023-01-02 07:00:00,1,16.76
33,842,Monitor,North,4,1764.17,5466.81,2023-01-02 08:00:00,2,22.53
34,624,Keyboard,East,8,838.81,6683.64,2023-01-02 09:00:00,5,0.4
35,863,Phone,South,8,618.45,3892.28,2023-01-02 10:00:00,2,21.33
36,165,Tablet,North,7,507.09,3087.11,2023-01-02 11:00:00,2,13.03
37,279,Tablet,West,9,1088.4,8274.34,2023-01-02 12:00:00,5,15.53
38,27,Phone,West,4,272.78,1066.24,2023-01-02 13:00:00,3,2.28
