date,temperature,humidity,pressure,wind_speed,precipitation,cloud_cover
2023-01-01,26.1,73.8,1026.0,10.1,0.5,30.5
2023-01-02,23.1,70.7,1026.7,10.2,1.6,92.5
2023-01-03,21.8,64.6,1025.0,13.3,0.6,33.0
2023-01-04,22.4,70.8,1021.4,10.7,1.8,7.3
2023-01-05,21.5,68.1,1025.2,7.2,0.4,99.4
2023-01-06,21.6,62.5,1022.2,8.4,3.2,87.0
2023-01-07,15.3,68.6,1022.8,3.6,0.2,46.6
2023-01-08,19.3,60.3,1019.0,7.2,0.0,66.6
2023-01-09,20.7,69.0,1015.6,4.9,2.1,67.1
2023-01-10,23.9,75.1,1025.7,11.1,1.4,19.4
2023-01-11,17.9,70.7,1025.9,13.6,0.3,20.0
2023-01-12,21.5,72.7,1029.3,7.2,4.2,47.0
2023-01-13,21.4,65.0,1023.0,7.3,0.7,91.2
2023-01-14,23.9,69.5,1021.6,12.8,3.0,1.0
2023-01-15,25.2,70.8,1015.6,8.6,0.7,78.3
2023-01-16,22.1,65.9,1022.4,10.8,0.6,5.8
2023-01-17,22.6,71.0,1024.4,12.2,0.6,47.8
2023-01-18,22.5,70.1,1013.4,7.9,0.4,63.8
2023-01-19,23.6,71.4,1027.8,7.9,0.8,68.7
2023-01-20,24.9,62.9,1018.9,8.5,0.6,5.8
2023-01-21,29.3,74.6,1021.4,5.3,0.0,41.9
2023-01-22,22.5,70.6,1025.3,11.5,0.3,58.4
2023-01-23,31.0,67.9,1022.2,11.8,0.2,6.6
2023-01-24,22.3,68.2,1029.2,10.2,2.0,13.5
2023-01-25,29.1,68.6,1025.2,14.1,0.9,66.4
2023-01-26,25.1,64.7,1021.3,9.2,1.4,52.2
2023-01-27,24.0,74.9,1006.3,11.9,3.1,16.2
2023-01-28,30.9,73.9,1026.8,11.5,1.0,53.5
2023-01-29,27.4,74.3,1015.9,7.6,4.1,91.3
2023-01-30,27.5,76.8,1026.0,13.5,0.4,1.6
2023-01-31,26.8,70.3,1024.1,10.4,0.2,64.3
2023-02-01,26.1,61.2,1020.5,12.9,0.5,7.4
2023-02-02,27.5,72.7,1026.2,6.1,0.6,0.6
2023-02-03,18.6,72.6,1023.9,10.3,2.3,15.1
2023-02-04,22.9,77.4,1022.9,8.6,0.8,42.3
2023-02-05,29.9,75.1,1012.6,7.4,0.3,80.2
2023-02-06,32.5,70.4,1021.2,14.2,1.4,28.2
2023-02-07,33.2,69.1,1014.7,10.6,0.7,62.6
2023-02-08,26.5,74.9,1015.4,5.6,0.2,41.1
2023-02-09,30.1,56.6,1018.9,8.5,0.9,23.4
2023-02-10,23.1,71.1,1027.9,12.8,2.4,51.4
2023-02-11,28.9,74.7,1022.3,7.4,1.8,79.7
2023-02-12,32.6,69.4,1022.5,7.1,0.9,83.2
2023-02-13,30.3,68.1,1024.1,9.6,0.5,84.7
2023-02-14,29.5,71.5,1015.8,11.4,0.1,33.9
2023-02-15,30.6,76.7,1012.1,7.8,0.6,79.3
2023-02-16,34.7,72.2,1011.1,11.2,1.4,21.2
2023-02-17,30.3,66.6,1020.9,10.1,0.4,73.8
2023-02-18,31.4,76.1,1024.6,10.5,0.3,94.8
2023-02-19,35.9,77.0,1024.1,2.8,2.7,1.4
2023-02-20,30.9,65.9,1015.2,10.0,1.7,44.0
2023-02-21,26.8,83.9,1026.0,9.2,1.0,64.8
2023-02-22,36.0,69.8,1029.3,11.2,0.1,70.2
2023-02-23,35.1,74.5,1022.0,8.0,0.2,17.6
2023-02-24,25.5,73.4,1026.3,8.9,0.1,97.2
2023-02-25,31.9,66.2,1023.1,11.6,1.0,61.5
2023-02-26,32.4,67.4,1017.4,14.3,0.1,16.4
2023-02-27,36.7,69.9,1015.1,6.0,1.8,2.1
2023-02-28,32.7,60.1,1010.2,11.5,5.0,78.3
2023-03-01,33.4,73.5,1015.9,13.7,0.5,8.0
2023-03-02,33.6,59.8,1016.8,12.1,0.6,14.1
2023-03-03,31.7,69.3,1016.8,13.5,1.2,57.5
2023-03-04,37.2,65.8,1017.1,8.4,2.8,60.4
2023-03-05,31.0,71.9,1006.1,13.7,2.2,68.7
2023-03-06,32.0,57.9,1021.3,7.8,0.1,39.4
2023-03-07,33.6,60.5,1021.7,10.2,0.2,77.4
2023-03-08,29.7,65.7,1018.9,8.5,1.4,97.4
2023-03-09,39.1,71.1,1011.0,8.6,1.2,27.1
2023-03-10,33.9,69.5,1018.6,4.8,0.1,70.3
2023-03-11,36.5,73.5,1016.7,4.1,0.7,92.8
2023-03-12,31.2,68.7,1018.8,13.5,1.5,68.6
2023-03-13,36.3,67.9,1024.0,4.6,0.2,68.1
2023-03-14,36.7,62.5,1015.2,10.8,2.1,22.4
2023-03-15,37.2,66.5,1016.8,6.1,0.1,53.5
2023-03-16,40.1,67.4,1011.4,7.5,1.5,56.3
2023-03-17,32.8,57.1,1020.2,12.1,1.0,70.0
2023-03-18,34.0,62.7,1018.9,10.5,0.4,99.7
2023-03-19,32.1,69.3,1016.3,9.6,1.3,3.4
2023-03-20,34.4,67.7,1009.8,13.4,1.5,6.5
2023-03-21,36.7,65.3,1011.5,9.1,2.7,7.8
2023-03-22,36.6,63.4,1005.6,13.7,0.5,74.3
2023-03-23,39.7,57.5,1011.1,6.8,1.2,13.6
2023-03-24,36.3,55.1,1018.0,6.4,0.9,62.2
2023-03-25,34.9,64.3,1016.2,9.6,0.7,32.5
2023-03-26,31.6,73.0,1014.9,10.0,2.2,45.7
2023-03-27,37.5,65.5,1021.3,7.4,0.0,21.6
2023-03-28,34.5,70.2,1015.3,9.2,0.3,86.6
2023-03-29,37.6,59.0,1010.7,14.1,0.8,58.6
2023-03-30,33.7,66.1,1009.9,8.8,0.2,94.5
2023-03-31,38.6,60.9,1012.1,4.2,2.4,57.5
2023-04-01,36.2,60.5,1010.8,4.8,1.0,12.4
2023-04-02,38.0,67.7,1017.6,16.3,0.6,17.1
2023-04-03,36.2,63.1,1014.8,14.4,1.7,98.9
2023-04-04,32.2,56.5,1010.9,8.7,0.6,72.6
2023-04-05,33.9,63.7,1010.9,12.4,0.8,4.9
2023-04-06,31.1,59.4,1015.7,10.8,0.0,70.4
2023-04-07,35.5,55.5,1017.1,13.8,0.5,41.2
2023-04-08,30.5,57.4,1002.6,6.8,0.1,30.7
2023-04-09,35.7,72.4,1010.8,6.9,1.2,15.4
2023-04-10,24.0,67.9,1012.0,14.0,0.7,84.0
2023-04-11,37.2,51.5,1014.1,5.5,0.4,6.4
2023-04-12,31.4,60.4,1011.7,10.2,0.6,29.0
2023-04-13,31.8,60.4,1013.0,9.9,0.2,30.6
2023-04-14,38.8,59.4,1009.6,12.4,2.6,16.1
2023-04-15,35.5,57.1,1006.6,10.4,0.1,50.8
2023-04-16,37.1,63.9,1014.4,9.6,2.0,1.2
2023-04-17,31.4,64.6,1014.4,8.9,0.7,30.1
2023-04-18,37.3,64.8,1013.4,7.0,1.0,93.4
2023-04-19,33.9,60.9,1014.1,9.5,0.4,31.1
2023-04-20,34.6,62.0,1005.0,13.5,3.4,36.0
2023-04-21,38.6,56.9,1007.1,9.1,0.3,47.3
2023-04-22,30.6,50.4,1015.1,14.2,0.9,56.2
2023-04-23,36.7,50.0,1011.1,12.2,5.0,80.9
2023-04-24,35.0,53.4,1009.5,11.4,2.1,19.0
2023-04-25,33.1,56.4,1007.8,9.5,0.8,87.2
2023-04-26,30.4,50.6,1015.2,8.1,4.6,75.8
2023-04-27,32.9,51.1,999.9,15.0,1.2,72.3
2023-04-28,31.0,54.5,1010.0,12.4,0.2,8.7
2023-04-29,36.9,60.4,1008.1,9.6,0.5,2.2
2023-04-30,33.5,57.4,1002.0,15.1,0.4,59.4
2023-05-01,31.0,51.1,1016.2,11.9,0.4,86.3
2023-05-02,28.6,55.3,994.5,5.7,1.4,58.4
2023-05-03,31.4,48.1,1008.4,8.7,0.9,21.3
2023-05-04,36.4,50.1,1010.3,12.2,0.0,9.1
2023-05-05,32.9,45.8,1002.6,14.5,2.1,70.0
2023-05-06,31.9,55.9,1008.8,17.1,0.4,72.2
2023-05-07,37.3,52.0,1006.1,10.1,5.8,17.3
